number_complaints,officer,salary,year
2,11031,69270,2006
2,11031,99978,2016
2,11089,40830,2005
2,11089,54636,2006
2,11089,61932,2008
2,11089,75372,2012
2,11089,79980,2014
2,11089,87006,2017
2,11166,64374,2011
2,11166,65016,2013
2,11215,62424,2002
2,11215,72810,2003
2,11215,72810,2004
2,11327,68880,2002
2,11327,70260,2004
2,11332,72810,2004
2,11332,99756,2013
2,11332,119076,2014
2,11376,79224,2016
2,11376,80016,2017
2,11451,79224,2016
2,11494,72810,2003
2,11494,83214,2006
2,11565,58572,2003
2,11626,83604,2010
2,11689,43104,2012
2,11689,61530,2013
2,11689,68994,2014
2,11689,79224,2016
2,11708,43104,2011
2,11708,65016,2013
2,11708,72570,2014
2,11708,83220,2016
2,11889,82422,2004
2,11905,73116,2007
2,11905,88830,2014
2,11905,89718,2015
2,11954,74946,2006
2,12008,62214,2002
2,12008,63456,2003
2,12008,76446,2007
2,12008,100980,2017
2,12014,127278,2003
2,12045,68994,2014
2,12129,60600,2003
2,12129,60600,2004
2,12129,71682,2006
2,12129,73116,2008
2,12129,83706,2014
2,12248,66924,2006
2,12248,68262,2007
2,12248,77238,2011
2,12248,86520,2015
2,12338,68994,2014
2,12338,73296,2015
2,12378,43104,2008
2,12378,66378,2010
2,12378,71040,2011
2,12378,83220,2016
2,12380,49548,2002
2,12380,53136,2003
2,12380,68262,2008
2,12380,73164,2010
2,12456,67326,2005
2,12498,66924,2006
2,12498,68262,2007
2,12498,68262,2008
2,12498,78012,2013
2,12498,82788,2014
2,12498,83616,2015
2,12507,80808,2002
2,12507,82422,2003
2,12507,82422,2004
2,12584,66006,2002
2,12584,69264,2004
2,12600,72810,2003
2,12616,66924,2006
2,12616,68262,2008
2,12616,70656,2009
2,12616,77238,2011
2,12616,78012,2013
2,12621,75372,2012
2,12621,79980,2014
2,12621,83220,2016
2,12660,66552,2002
2,12660,67884,2003
2,12660,67884,2004
2,12660,90456,2010
2,12660,93192,2012
2,12681,69330,2002
2,12681,80400,2006
2,12706,63654,2002
2,12706,64926,2004
2,12711,59412,2002
2,12711,81252,2010
2,12711,83706,2013
2,12746,69264,2004
2,12746,76476,2005
2,12754,58896,2009
2,12754,71040,2011
2,12754,79980,2014
2,12754,80778,2015
2,12761,64926,2003
2,12800,75372,2013
2,12823,82746,2005
2,12866,73296,2015
2,12878,47808,2003
2,12878,63720,2006
2,12878,68262,2008
2,12906,61530,2013
2,12906,79224,2016
2,12908,54672,2002
2,12908,68262,2007
2,12939,67908,2002
2,12949,58896,2008
2,12949,80778,2015
2,12949,87006,2017
2,12962,69270,2006
2,12962,70656,2007
2,12962,79926,2011
2,12962,96648,2012
2,12962,99756,2013
2,12962,107988,2016
2,12962,107988,2017
2,12984,47808,2003
2,12984,50538,2004
2,12984,58668,2005
2,12984,63720,2006
2,12984,74628,2011
2,12996,43104,2011
2,12996,72570,2014
2,12996,83220,2016
2,13016,68262,2008
2,13016,78012,2012
2,13016,85662,2014
2,13033,79170,2013
2,13033,87780,2015
2,13069,68262,2009
2,13069,75372,2012
2,13069,82788,2014
2,13084,50538,2003
2,13084,66924,2006
2,13084,68262,2007
2,13084,73164,2010
2,13112,40830,2005
2,13112,54636,2006
2,13112,58896,2007
2,13112,79980,2014
2,13112,87006,2017
2,13114,68994,2014
2,13114,73296,2015
2,13114,79224,2016
2,13120,80016,2017
2,13141,36984,2002
2,13163,42258,2006
2,13163,69648,2010
2,13163,75372,2012
2,13163,79980,2014
2,13170,87372,2012
2,13170,90540,2013
2,13170,100980,2017
2,13198,61530,2013
2,13198,68994,2014
2,13222,57426,2002
2,13222,80724,2012
2,13252,80808,2002
2,13252,82422,2003
2,13252,82422,2005
2,13284,74628,2011
2,13284,87006,2017
2,13288,68994,2014
2,13288,79224,2016
2,13288,80016,2017
2,13333,68994,2014
2,13333,79224,2016
2,13363,77514,2004
2,13367,82746,2006
2,13367,84402,2008
2,13370,43104,2012
2,13370,84054,2017
2,13430,64662,2005
2,13430,68262,2007
2,13430,70656,2008
2,13430,70656,2009
2,13430,77238,2011
2,13430,80724,2013
2,13430,85662,2014
2,13430,90024,2017
2,13435,55728,2007
2,13435,58896,2008
2,13435,79980,2014
2,13435,86142,2016
2,13470,75102,2005
2,13470,87534,2008
2,13470,87534,2009
2,13470,96828,2010
2,13470,98766,2011
2,13532,69264,2003
2,13532,69264,2004
2,13625,70656,2009
2,13625,77238,2011
2,13625,78012,2012
